"SizeGB","SizeMB","LastWriteTime","DirectoryName","FullName"
"14.5","14848","2026/4/21 16:46:25","C:\","C:\pagefile.sys"
"2.62","2686.7","2026/4/7 13:46:48","C:\Users\fy\AppData\Local\pip\cache\http-v2\1\0\4\0\7","C:\Users\fy\AppData\Local\pip\cache\http-v2\1\0\4\0\7\10407d5fb9af7762ff5dd5027731c043e224d3a9f8dbd1734bdb7afe.body"
"1.03","1055.05","2026/2/23 0:06:24","C:\Program Files (x86)\ASUS\AsusGamingCenterInstallPackage","C:\Program Files (x86)\ASUS\AsusGamingCenterInstallPackage\81c90b1f9db64a60a785923998f0dc86.msixbundle"
"0.61","621.22","2023/2/10 22:15:06","C:\Users\fy\AppData\Local\Temp\21732154-3fd4-478c-9675-9f4f8cc10f38_Anaconda3-2022.10-Windows-x86_64.zip.f38","C:\Users\fy\AppData\Local\Temp\21732154-3fd4-478c-9675-9f4f8cc10f38_Anaconda3-2022.10-Windows-x86_64.zip.f38\Anaconda3-2022.10-Windows-x86_64.exe"
"0.47","480.86","2022/12/26 20:36:21","C:\Users\fy\AppData\Local\Temp\Rar$EXa23048.3436.rartemp","C:\Users\fy\AppData\Local\Temp\Rar$EXa23048.3436.rartemp\pycharm-professional-2022.3.exe"
"0.44","447.75","2026/4/21 14:56:58","C:\Program Files (x86)\Google\GoogleUpdater\crx_cache","C:\Program Files (x86)\Google\GoogleUpdater\crx_cache\4566ead976de0cfad16401e050d2c7941a885c5889a9f4569e7e7e4b2724d7bc"
"0.36","366.54","2026/3/30 10:12:44","C:\Users\fy\AppData\Local\Lenovo","C:\Users\fy\AppData\Local\Lenovo\Main.bin"
"0.3","303.78","2026/4/16 11:51:57","C:\Program Files (x86)\Microsoft\EdgeCore\Optimized","C:\Program Files (x86)\Microsoft\EdgeCore\Optimized\msedge.dll"
"0.3","303.78","2026/4/16 11:51:57","C:\Program Files (x86)\Microsoft\Edge\Application\147.0.3912.72","C:\Program Files (x86)\Microsoft\Edge\Application\147.0.3912.72\msedge.dll"
"0.3","303.78","2026/4/16 11:51:57","C:\Program Files (x86)\Microsoft\EdgeCore\147.0.3912.72","C:\Program Files (x86)\Microsoft\EdgeCore\147.0.3912.72\msedge.dll"
"0.3","303.78","2026/4/16 11:51:57","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\147.0.3912.72","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\147.0.3912.72\msedge.dll"
"0.29","294.84","2026/4/15 11:11:31","C:\Windows\System32\Microsoft-Edge-WebView","C:\Windows\System32\Microsoft-Edge-WebView\msedge.dll"
"0.29","294.84","2026/4/15 11:11:31","C:\Windows\WinSxS\amd64_microsoft-edge-webview_31bf3856ad364e35_10.0.26100.8246_none_2ec91fd13ab0f039","C:\Windows\WinSxS\amd64_microsoft-edge-webview_31bf3856ad364e35_10.0.26100.8246_none_2ec91fd13ab0f039\msedge.dll"
"0.29","293.09","2026/3/11 12:35:38","C:\Windows\WinSxS\amd64_microsoft-edge-webview_31bf3856ad364e35_10.0.26100.8036_none_2eddbf5f3aa19f00","C:\Windows\WinSxS\amd64_microsoft-edge-webview_31bf3856ad364e35_10.0.26100.8036_none_2eddbf5f3aa19f00\msedge.dll"
"0.26","265.3","2026/4/15 11:21:44","C:\Program Files\Google\Chrome\Application\147.0.7727.102","C:\Program Files\Google\Chrome\Application\147.0.7727.102\chrome.dll"
"0.25","258.89","2026/4/26 1:06:24","C:\Users\fy\AppData\Local\D3DSCache\e3411d9c51b6e653","C:\Users\fy\AppData\Local\D3DSCache\e3411d9c51b6e653\F4EB2D6C-ED2B-4BDD-AD9D-F913287E6768.dxcache"
"0.25","251.35","2024/3/21 15:19:00","C:\Windows\WinSxS\amd64_microsoft-edge-webview_31bf3856ad364e35_10.0.26100.1_none_8fe1c356f34a19ca","C:\Windows\WinSxS\amd64_microsoft-edge-webview_31bf3856ad364e35_10.0.26100.1_none_8fe1c356f34a19ca\msedge.dll"
"0.21","220.03","2026/4/25 18:09:25","C:\Users\fy\AppData\Local\Packages\OpenAI.Codex_2p2nqsd0c76g0\LocalCache\Local\OpenAI\Codex\bin","C:\Users\fy\AppData\Local\Packages\OpenAI.Codex_2p2nqsd0c76g0\LocalCache\Local\OpenAI\Codex\bin\codex.exe"
"0.2","208.14","2026/4/15 11:29:24","C:\Windows\System32","C:\Windows\System32\MRT.exe"
"0.2","200.42","2026/4/9 16:24:50","C:\Users\fy\AppData\Roaming\Tencent\xwechat\XPlugin\Plugins\RadiumWMPF\19459\extracted\runtime","C:\Users\fy\AppData\Roaming\Tencent\xwechat\XPlugin\Plugins\RadiumWMPF\19459\extracted\runtime\flue.dll"
"0.19","197.73","2026/4/7 19:20:19","C:\Users\fy\AppData\Local\bilibili-updater","C:\Users\fy\AppData\Local\bilibili-updater\installer.exe"
"0.18","182.02","2026/4/23 18:45:59","C:\Users\fy\.codex\.sandbox-bin","C:\Users\fy\.codex\.sandbox-bin\codex.exe"
"0.18","181.34","2026/4/18 14:09:40","C:\Program Files (x86)\Microsoft\EdgeUpdate\Download\{56EB18F8-B008-4CBD-B6D2-8C97FE7E9062}\147.0.3912.72","C:\Program Files (x86)\Microsoft\EdgeUpdate\Download\{56EB18F8-B008-4CBD-B6D2-8C97FE7E9062}\147.0.3912.72\MicrosoftEdge_X64_147.0.3912.72.exe"
"0.18","181.28","2026/4/14 21:07:40","C:\Program Files (x86)\Microsoft\EdgeUpdate\Download\{C50565E9-CCCF-44B4-BA15-5AC5C6569197}\147.0.3912.60","C:\Program Files (x86)\Microsoft\EdgeUpdate\Download\{C50565E9-CCCF-44B4-BA15-5AC5C6569197}\147.0.3912.60\MicrosoftEdge_X64_147.0.3912.60.exe"
"0.17","171.86","2025/12/31 17:44:04","C:\Program Files (x86)\ASUS\ArmouryDevice","C:\Program Files (x86)\ASUS\ArmouryDevice\asus_framework.exe"
